Invoice ID,Date,Time,Branch,City,Customer type,Gender,Product Line,Unit Price,Quantity,Cost,Tax 5%,Total Cost,Payment Mode,Gross Income,Gross Margin Percentage,Rating
765-26-6951,01-01-2019,10:39:00,A,Mumbai,Normal,Male,Sports and travel,72.61,6,435.66,21.783,457.443,Credit Card,21.783,4.761904762,6.9
530-90-9855,01-01-2019,14:47:00,A,Mumbai,Member,Male,Home and lifestyle,47.59,8,380.72,19.036,399.756,Cash,19.036,4.761904762,5.7
891-01-7034,01-01-2019,19:07:00,B,Nashik,Normal,Female,Electronic accessories,74.71,6,448.26,22.413,470.673,Cash,22.413,4.761904762,6.7
493-65-6248,01-01-2019,19:48:00,C,Pune,Member,Female,Sports and travel,36.98,10,369.8,18.49,388.29,Credit Card,18.49,4.761904762,7
556-97-7101,01-01-2019,15:51:00,C,Pune,Normal,Female,Electronic accessories,63.22,2,126.44,6.322,132.762,Cash,6.322,4.761904762,8.5
133-14-7229,01-01-2019,11:43:00,C,Pune,Normal,Male,Health and beauty,62.87,2,125.74,6.287,132.027,Cash,6.287,4.761904762,5
651-88-7328,01-01-2019,13:55:00,A,Mumbai,Normal,Female,Fashion accessories,65.74,9,591.66,29.583,621.243,Cash,29.583,4.761904762,7.7
182-52-7000,01-01-2019,20:26:00,A,Mumbai,Member,Female,Sports and travel,27.04,4,108.16,5.408,113.568,E-wallet,5.408,4.761904762,6.9
416-17-9926,01-01-2019,14:42:00,A,Mumbai,Member,Female,Electronic accessories,74.22,10,742.2,37.11,779.31,Credit Card,37.11,4.761904762,4.3
271-77-8740,01-01-2019,11:40:00,C,Pune,Member,Female,Sports and travel,29.22,6,175.32,8.766,184.086,E-wallet,8.766,4.761904762,5
770-42-8960,01-01-2019,19:31:00,B,Nashik,Normal,Male,Food and beverages,21.12,8,168.96,8.448,177.408,Cash,8.448,4.761904762,6.3
746-04-1077,01-01-2019,11:36:00,B,Nashik,Member,Female,Food and beverages,84.63,10,846.3,42.315,888.615,Credit Card,42.315,4.761904762,9
551-21-3069,02-01-2019,11:27:00,C,Pune,Normal,Female,Electronic accessories,23.07,9,207.63,10.3815,218.0115,Cash,10.3815,4.761904762,4.9
237-01-6122,02-01-2019,20:31:00,C,Pune,Member,Female,Home and lifestyle,80.79,9,727.11,36.3555,763.4655,Credit Card,36.3555,4.761904762,9.5
105-31-1824,02-01-2019,15:10:00,A,Mumbai,Member,Male,Sports and travel,69.52,7,486.64,24.332,510.972,Credit Card,24.332,4.761904762,8.5
870-76-1733,02-01-2019,10:08:00,A,Mumbai,Member,Female,Food and beverages,14.23,5,71.15,3.5575,74.7075,Credit Card,3.5575,4.761904762,4.4
358-88-9262,02-01-2019,18:43:00,C,Pune,Member,Female,Food and beverages,87.48,6,524.88,26.244,551.124,E-wallet,26.244,4.761904762,5.1
443-82-0585,02-01-2019,19:54:00,A,Mumbai,Member,Female,Health and beauty,77.68,4,310.72,15.536,326.256,Cash,15.536,4.761904762,8.4
189-98-2939,03-01-2019,13:22:00,C,Pune,Normal,Male,Fashion accessories,78.55,9,706.95,35.3475,742.2975,Cash,35.3475,4.761904762,7.2
453-63-6187,03-01-2019,15:40:00,B,Nashik,Normal,Male,Electronic accessories,27.5,3,82.5,4.125,86.625,E-wallet,4.125,4.761904762,6.5
153-58-4872,03-01-2019,15:32:00,C,Pune,Member,Female,Food and beverages,74.89,4,299.56,14.978,314.538,E-wallet,14.978,4.761904762,4.2
220-28-1851,03-01-2019,18:14:00,A,Mumbai,Normal,Male,Home and lifestyle,34.73,2,69.46,3.473,72.933,E-wallet,3.473,4.761904762,9.7
339-96-8318,03-01-2019,19:49:00,B,Nashik,Member,Male,Fashion accessories,81.31,7,569.17,28.4585,597.6285,E-wallet,28.4585,4.761904762,6.3
207-73-1363,03-01-2019,12:15:00,B,Nashik,Normal,Male,Health and beauty,69.51,2,139.02,6.951,145.971,E-wallet,6.951,4.761904762,8.1
470-31-3286,03-01-2019,11:30:00,B,Nashik,Normal,Male,Health and beauty,14.82,3,44.46,2.223,46.683,Credit Card,2.223,4.761904762,8.7
811-03-8790,03-01-2019,10:22:00,A,Mumbai,Normal,Female,Electronic accessories,45.48,10,454.8,22.74,477.54,Credit Card,22.74,4.761904762,4.8
247-11-2470,03-01-2019,16:23:00,A,Mumbai,Member,Female,Fashion accessories,22.32,4,89.28,4.464,93.744,Credit Card,4.464,4.761904762,4.4
238-45-6950,03-01-2019,20:03:00,B,Nashik,Member,Male,Food and beverages,53.72,1,53.72,2.686,56.406,E-wallet,2.686,4.761904762,6.4
504-35-8843,01-02-2019,16:57:00,A,Mumbai,Normal,Male,Sports and travel,42.47,1,42.47,2.1235,44.5935,Cash,2.1235,4.761904762,5.7
446-47-6729,01-02-2019,18:09:00,C,Pune,Normal,Male,Fashion accessories,99.82,2,199.64,9.982,209.622,Credit Card,9.982,4.761904762,6.7
244-08-0162,01-02-2019,13:00:00,B,Nashik,Normal,Female,Health and beauty,34.21,10,342.1,17.105,359.205,Cash,17.105,4.761904762,5.1
198-84-7132,01-02-2019,13:40:00,B,Nashik,Member,Male,Fashion accessories,40.61,9,365.49,18.2745,383.7645,Cash,18.2745,4.761904762,7
744-09-5786,01-02-2019,18:50:00,B,Nashik,Normal,Male,Electronic accessories,22.01,6,132.06,6.603,138.663,Cash,6.603,4.761904762,7.6
712-39-0363,01-02-2019,15:24:00,A,Mumbai,Member,Male,Food and beverages,41.66,6,249.96,12.498,262.458,E-wallet,12.498,4.761904762,5.6
345-68-9016,01-02-2019,16:19:00,C,Pune,Member,Female,Sports and travel,31.67,8,253.36,12.668,266.028,Credit Card,12.668,4.761904762,5.6
